incident_id,latitude,longitude,incident_type,date,time_of_day,city,barangay,description
79,14.6093,121.000721,assault,2025-08-20,16:59,Manila,Sampaloc,
80,14.638674,121.039795,assault,2026-01-01,16:04,Quezon City,Kamuning,
81,14.717831,121.04197,assault,2025-06-12,22:56,Quezon City,Novaliches,
82,14.668957,121.053867,theft,2026-01-10,10:17,Quezon City,Commonwealth,
83,14.579358,121.002034,assault,2026-01-19,21:15,Manila,Paco,
84,14.623456,120.972705,theft,2026-01-12,08:12,Manila,Tondo,
85,14.616806,121.057408,theft,2026-02-17,14:33,Quezon City,Cubao,
86,14.588157,120.978272,robbery,2026-01-09,09:55,Manila,Ermita,
87,14.703454,121.080001,theft,2025-12-04,14:14,Quezon City,Fairview,
88,14.572133,120.994555,theft,2025-12-20,23:18,Manila,Malate,
89,14.701113,121.083173,robbery,2025-11-18,18:41,Quezon City,Fairview,
90,14.724414,121.041036,assault,2026-02-26,17:32,Quezon City,Novaliches,
91,14.652684,121.032743,robbery,2025-09-01,06:43,Quezon City,Project 6,
92,14.6324,121.039283,harassment,2025-04-06,22:38,Quezon City,Kamuning,
93,14.633357,121.034625,harassment,2026-01-19,09:08,Quezon City,Kamuning,
94,14.727054,121.04661,harassment,2025-07-11,13:38,Quezon City,Novaliches,
95,14.637167,121.037885,theft,2026-03-14,23:45,Quezon City,Kamuning,
96,14.646432,121.055317,robbery,2025-05-15,10:34,Quezon City,Diliman,
97,14.675174,121.05063,theft,2025-06-10,00:00,Quezon City,Commonwealth,
98,14.705241,121.087545,theft,2025-08-26,22:16,Quezon City,Fairview,
99,14.681954,121.051744,harassment,2025-10-13,20:52,Quezon City,Commonwealth,
100,14.6011,120.977052,harassment,2026-03-16,17:27,Manila,Binondo,
101,14.718099,121.033121,theft,2025-09-19,16:06,Quezon City,Novaliches,
102,14.630458,121.031247,harassment,2025-05-01,23:49,Quezon City,Kamuning,
103,14.681995,121.052285,robbery,2025-08-26,11:56,Quezon City,Commonwealth,
104,14.648307,121.055836,assault,2025-09-10,17:41,Quezon City,Diliman,
105,14.725717,121.042313,assault,2025-12-01,12:35,Quezon City,Novaliches,
106,14.639047,121.035515,assault,2025-07-31,12:29,Quezon City,Kamuning,
107,14.625068,120.969952,theft,2025-10-21,20:35,Manila,Tondo,
108,14.709553,121.079398,harassment,2025-06-07,20:50,Quezon City,Fairview,
109,14.580637,120.999419,theft,2025-04-09,08:55,Manila,Paco,
110,14.704867,121.084472,harassment,2026-01-17,16:02,Quezon City,Fairview,
111,14.636753,121.029264,assault,2025-04-28,16:43,Quezon City,Kamuning,
112,14.649112,121.050294,assault,2025-11-29,09:57,Quezon City,Diliman,
113,14.635218,121.032845,theft,2025-07-08,09:26,Quezon City,Kamuning,
114,14.605608,120.992957,theft,2025-11-05,02:45,Manila,Sampaloc,
115,14.590153,120.982451,assault,2025-06-17,19:47,Manila,Ermita,
116,14.687779,121.093913,harassment,2026-03-05,07:56,Quezon City,Batasan Hills,
117,14.567319,120.98817,harassment,2026-02-14,21:23,Manila,Malate,
118,14.726161,121.036375,harassment,2026-03-02,22:47,Quezon City,Novaliches,
119,14.635047,121.036276,harassment,2025-12-19,07:29,Quezon City,Kamuning,
120,14.718097,121.037263,theft,2025-08-29,11:26,Quezon City,Novaliches,
121,14.701267,121.084488,theft,2026-03-22,19:33,Quezon City,Fairview,
122,14.675668,121.0515,robbery,2025-09-01,20:18,Quezon City,Commonwealth,
123,14.617391,121.059501,harassment,2025-06-21,02:18,Quezon City,Cubao,
124,14.581741,120.981336,robbery,2025-10-15,22:24,Manila,Ermita,
125,14.617597,120.979924,assault,2025-09-27,16:00,Manila,Sta. Cruz,
126,14.604182,120.971529,robbery,2026-03-21,20:36,Manila,Binondo,
127,14.648634,121.034904,assault,2026-01-24,19:34,Quezon City,Project 6,
128,14.592794,120.981279,harassment,2025-05-19,20:15,Manila,Quiapo,
129,14.603993,120.97143,robbery,2025-09-16,07:11,Manila,Binondo,
130,14.649061,121.053658,theft,2026-01-20,08:55,Quezon City,Diliman,
131,14.723982,121.040576,assault,2025-06-24,20:36,Quezon City,Novaliches,
132,14.654755,121.030785,harassment,2025-06-17,05:59,Quezon City,Project 6,
133,14.640421,121.032594,assault,2025-08-10,11:16,Quezon City,Kamuning,
134,14.615621,120.979003,assault,2025-12-20,10:28,Manila,Sta. Cruz,
135,14.623044,120.966739,robbery,2025-12-09,01:38,Manila,Tondo,
136,14.572937,120.991091,harassment,2026-01-30,19:41,Manila,Malate,
137,14.675562,121.050284,assault,2025-12-13,19:02,Quezon City,Commonwealth,
138,14.641851,121.031946,assault,2025-11-15,20:13,Quezon City,Kamuning,
139,14.634242,121.03648,harassment,2025-11-26,18:28,Quezon City,Kamuning,
140,14.616813,121.056169,harassment,2026-01-11,13:56,Quezon City,Cubao,
141,14.623586,121.051073,assault,2026-01-10,16:09,Quezon City,Cubao,
142,14.614287,120.984135,harassment,2025-07-17,16:07,Manila,Sta. Cruz,
143,14.603472,120.984841,theft,2026-02-21,23:51,Manila,Quiapo,
144,14.568994,120.987912,robbery,2025-05-26,16:42,Manila,Malate,
145,14.600991,120.977644,assault,2025-09-22,08:39,Manila,Binondo,
146,14.650059,121.059052,robbery,2026-02-17,14:25,Quezon City,Diliman,
147,14.640422,121.031424,harassment,2025-09-18,10:42,Quezon City,Kamuning,
148,14.597241,120.985982,theft,2026-03-15,14:38,Manila,Quiapo,
149,14.704665,121.086445,harassment,2025-04-06,19:11,Quezon City,Fairview,
150,14.61697,121.00524,robbery,2025-03-26,19:27,Manila,Sampaloc,
151,14.61198,120.994945,robbery,2025-11-04,15:12,Manila,Sampaloc,
152,14.565718,120.988149,assault,2025-10-22,23:20,Manila,Malate,
153,14.689573,121.093781,robbery,2025-11-19,21:17,Quezon City,Batasan Hills,
154,14.687603,121.096536,robbery,2025-10-15,22:50,Quezon City,Batasan Hills,
155,14.598905,120.982367,harassment,2025-04-11,09:39,Manila,Quiapo,
156,14.653717,121.032854,harassment,2025-08-19,20:12,Quezon City,Project 6,
157,14.579141,120.99787,assault,2025-11-22,12:15,Manila,Paco,
158,14.703438,121.081034,assault,2026-01-12,13:54,Quezon City,Fairview,
159,14.633998,121.032893,theft,2025-10-09,19:26,Quezon City,Kamuning,
160,14.646868,121.049128,harassment,2025-09-25,22:08,Quezon City,Diliman,
161,14.635158,121.035404,assault,2025-07-31,17:41,Quezon City,Kamuning,
162,14.611017,120.998167,robbery,2025-04-02,23:25,Manila,Sampaloc,
163,14.704548,121.089403,robbery,2025-10-01,04:47,Quezon City,Fairview,
164,14.639177,121.038333,assault,2025-05-15,17:02,Quezon City,Kamuning,
165,14.624267,120.970536,assault,2025-10-01,18:20,Manila,Tondo,
166,14.62491,120.968972,harassment,2026-02-14,17:02,Manila,Tondo,
167,14.621181,120.969539,theft,2025-07-08,18:32,Manila,Tondo,
168,14.567081,120.994315,theft,2026-02-23,20:27,Manila,Malate,
169,14.649973,121.051781,assault,2025-10-13,08:17,Quezon City,Diliman,
170,14.622906,120.969903,assault,2025-08-29,08:47,Manila,Tondo,
171,14.60468,120.988141,harassment,2025-08-01,12:42,Manila,Quiapo,
172,14.567858,120.988272,theft,2026-01-29,19:05,Manila,Malate,
173,14.609867,120.998676,harassment,2026-02-03,12:35,Manila,Sampaloc,
174,14.677237,121.048213,robbery,2025-09-12,10:21,Quezon City,Commonwealth,
175,14.689252,121.088285,assault,2025-06-16,19:58,Quezon City,Batasan Hills,
176,14.596331,120.982499,harassment,2025-04-25,12:57,Manila,Quiapo,
177,14.700972,121.083272,robbery,2025-08-03,18:40,Quezon City,Fairview,
178,14.7211,121.04224,robbery,2026-01-13,22:45,Quezon City,Novaliches,
179,14.583613,120.984885,robbery,2026-03-07,19:57,Manila,Ermita,
180,14.584831,120.985143,assault,2025-07-18,23:03,Manila,Ermita,
181,14.570788,120.994785,assault,2026-01-05,13:09,Manila,Malate,
182,14.608389,120.980623,robbery,2026-01-09,20:37,Manila,Sta. Cruz,
183,14.634357,121.036259,theft,2026-03-02,22:52,Quezon City,Kamuning,
184,14.592821,120.988062,harassment,2025-12-24,18:13,Manila,Quiapo,
185,14.605122,120.973308,theft,2025-05-28,01:08,Manila,Binondo,
186,14.604847,120.971111,harassment,2025-12-28,09:19,Manila,Binondo,
187,14.721894,121.043385,robbery,2025-06-30,14:19,Quezon City,Novaliches,
188,14.648192,121.056464,assault,2025-05-18,16:31,Quezon City,Diliman,
189,14.690228,121.090353,theft,2026-02-05,06:01,Quezon City,Batasan Hills,
190,14.579588,120.997846,theft,2025-11-05,18:14,Manila,Paco,
191,14.606185,120.971616,assault,2025-06-12,18:44,Manila,Binondo,
192,14.566478,120.988718,harassment,2025-07-21,08:37,Manila,Malate,
193,14.581677,120.995588,robbery,2025-11-09,13:13,Manila,Paco,
194,14.57318,120.995747,assault,2025-12-10,10:34,Manila,Malate,
195,14.585196,120.981179,theft,2026-01-22,00:49,Manila,Ermita,
196,14.619306,120.981485,Physical Injury / Brawl,2026-03-25,12:00,Manila,Sta. Cruz,High; Statistical Hotspot
197,14.607256,120.975799,Smuggling (P102M Shabu),2026-03-25,12:00,Manila,Binondo,High; Real News (Simulated)
198,14.615988,120.989886,Smuggling (P102M Shabu),2026-03-25,12:00,Manila,Sta. Cruz,High; Real News (Simulated)
199,14.654861,121.029399,Drug Seizure (P142M Shabu),2026-03-24,12:00,Quezon City,Project 6,High; Real News (Simulated)
200,14.640162,121.034448,Robbery (Jewelry Store),2026-03-24,12:00,Quezon City,Kamuning,High; Real News (Simulated)
201,14.702893,121.082848,Animal Cruelty,2026-03-22,12:00,Quezon City,Fairview,Low; Real News (Simulated)
202,14.603201,120.987501,Physical Injury / Brawl,2026-03-22,12:00,Manila,Quiapo,High; Statistical Hotspot
203,14.700255,121.080799,Vehicular Crash,2026-03-22,12:00,Quezon City,Fairview,High; Statistical Hotspot
204,14.615709,121.055779,House Robbery,2026-03-22,12:00,Quezon City,Cubao,Medium; Real News (Simulated)
205,14.675915,121.041547,House Robbery,2026-03-21,12:00,Quezon City,Commonwealth,Medium; Real News (Simulated)
206,14.69539,121.094085,Armed Siege / Trespassing,2026-03-21,12:00,Quezon City,Batasan Hills,High; Real News (Scraped)
207,14.570107,120.995112,Theft,2026-03-21,12:00,Manila,Malate,Medium; Statistical Hotspot
208,14.707499,121.081364,Vehicular Crash,2026-03-20,12:00,Quezon City,Fairview,High; Statistical Hotspot
209,14.677187,121.051091,Robbery (Jewelry Store),2026-03-20,12:00,Quezon City,Commonwealth,High; Real News (Simulated)
210,14.617692,121.056255,Drug Seizure (P142M Shabu),2026-03-20,12:00,Quezon City,Cubao,High; Real News (Simulated)
211,14.722258,121.04141,Vehicular Crash,2026-03-19,12:00,Quezon City,Novaliches,High; Statistical Hotspot
212,14.575554,120.995515,Theft,2026-03-18,12:00,Manila,Paco,Medium; Statistical Hotspot
213,14.686409,121.096003,Animal Cruelty,2026-03-17,12:00,Quezon City,Batasan Hills,Low; Real News (Simulated)
214,14.577696,120.997658,Physical Injury / Brawl,2026-03-17,12:00,Manila,Paco,High; Statistical Hotspot
215,14.656272,121.030848,Robbery (Jewelry Store),2026-03-17,12:00,Quezon City,Project 6,High; Real News (Simulated)
216,14.567422,120.992095,Snatching,2026-03-17,12:00,Manila,Malate,Medium; Statistical Hotspot
217,14.655685,121.035733,Robbery (Jewelry Store),2026-03-16,12:00,Quezon City,Project 6,High; Real News (Simulated)
218,14.650328,121.027351,Robbery (Jewelry Store),2026-03-16,12:00,Quezon City,Project 6,High; Real News (Simulated)
219,14.618381,120.974551,Physical Injury / Brawl,2026-03-15,12:00,Manila,Tondo,High; Statistical Hotspot
220,14.655364,121.032428,House Robbery,2026-03-15,12:00,Quezon City,Project 6,Medium; Real News (Simulated)
221,14.65268,121.030168,Robbery (Jewelry Store),2026-03-15,12:00,Quezon City,Project 6,High; Real News (Simulated)
222,14.580731,120.98177,Physical Injury / Brawl,2026-03-15,12:00,Manila,Ermita,High; Statistical Hotspot
223,14.604448,120.969623,Theft,2026-03-15,12:00,Manila,Binondo,Medium; Statistical Hotspot
224,14.716045,121.040124,House Robbery,2026-03-14,12:00,Quezon City,Novaliches,Medium; Real News (Scraped)
225,14.619697,120.984848,Physical Injury / Brawl,2026-03-14,12:00,Manila,Sta. Cruz,High; Statistical Hotspot
226,14.577478,121.003202,Snatching,2026-03-14,12:00,Manila,Paco,Medium; Statistical Hotspot
227,14.673058,121.046301,Drug Seizure (P142M Shabu),2026-03-13,12:00,Quezon City,Commonwealth,High; Real News (Simulated)
228,14.699301,121.080664,Animal Cruelty,2026-03-11,12:00,Quezon City,Fairview,Low; Real News (Simulated)
229,14.609416,120.987744,Snatching,2026-03-10,12:00,Manila,Sta. Cruz,Medium; Statistical Hotspot
230,14.610979,120.998191,Smuggling (P102M Shabu),2026-03-10,12:00,Manila,Sampaloc,High; Real News (Scraped)
231,14.691396,121.090901,Animal Cruelty,2026-03-09,12:00,Quezon City,Batasan Hills,Low; Real News (Simulated)
232,14.620176,120.971823,Theft,2026-03-09,12:00,Manila,Tondo,Medium; Statistical Hotspot
233,14.612584,120.998473,Robbery / Extortion,2026-03-08,12:00,Manila,Sampaloc,High; Real News (Simulated)
234,14.631319,121.031523,Robbery (Jewelry Store),2026-03-08,12:00,Quezon City,Kamuning,High; Real News (Simulated)
235,14.630712,121.027336,Drug Seizure (P142M Shabu),2026-03-07,12:00,Quezon City,Kamuning,High; Real News (Simulated)
236,14.582141,120.981446,Theft,2026-03-06,12:00,Manila,Ermita,Medium; Statistical Hotspot
237,14.619637,120.982847,Snatching,2026-03-06,12:00,Manila,Sta. Cruz,Medium; Statistical Hotspot
238,14.605702,120.968946,Snatching,2026-03-06,12:00,Manila,Binondo,Medium; Statistical Hotspot
239,14.677248,121.053536,Armed Siege / Trespassing,2026-03-05,12:00,Quezon City,Commonwealth,High; Real News (Scraped)
240,14.631332,121.034354,Theft (Pickpocketing),2026-03-05,12:00,Quezon City,Kamuning,Medium; Statistical Hotspot
241,14.654077,121.035826,Robbery (Jewelry Store),2026-03-05,12:00,Quezon City,Project 6,High; Real News (Simulated)
242,14.650406,121.061678,Theft (Pickpocketing),2026-03-05,12:00,Quezon City,Diliman,Medium; Statistical Hotspot
243,14.616507,121.061173,House Robbery,2026-03-05,12:00,Quezon City,Cubao,Medium; Real News (Simulated)
244,14.724425,121.042489,Theft (Pickpocketing),2026-03-04,12:00,Quezon City,Novaliches,Medium; Statistical Hotspot
245,14.676235,121.046682,Theft (Pickpocketing),2026-03-04,12:00,Quezon City,Commonwealth,Medium; Statistical Hotspot
246,14.656583,121.03415,House Robbery,2026-03-04,12:00,Quezon City,Project 6,Medium; Real News (Simulated)
247,14.62167,120.966088,Theft,2026-03-04,12:00,Manila,Tondo,Medium; Statistical Hotspot
248,14.689823,121.092298,Armed Siege / Trespassing,2026-03-03,12:00,Quezon City,Batasan Hills,High; Real News (Simulated)
249,14.654065,121.037184,House Robbery,2026-03-03,12:00,Quezon City,Project 6,Medium; Real News (Simulated)
250,14.580673,120.983778,Snatching,2026-03-03,12:00,Manila,Ermita,Medium; Statistical Hotspot
251,14.60368,120.971671,Snatching,2026-03-02,12:00,Manila,Binondo,Medium; Statistical Hotspot
252,14.610353,120.998516,Physical Injury / Brawl,2026-03-02,12:00,Manila,Sampaloc,High; Statistical Hotspot
253,14.653432,121.030592,Vehicular Crash,2026-03-02,12:00,Quezon City,Project 6,High; Statistical Hotspot
254,14.68221,121.051825,Robbery (Jewelry Store),2026-03-02,12:00,Quezon City,Commonwealth,High; Real News (Simulated)
255,14.650509,121.039535,Animal Cruelty,2026-02-28,12:00,Quezon City,Project 6,Low; Real News (Simulated)
256,14.706011,121.08301,Theft (Pickpocketing),2026-02-28,12:00,Quezon City,Fairview,Medium; Statistical Hotspot
257,14.678766,121.052141,Theft (Pickpocketing),2026-02-27,12:00,Quezon City,Commonwealth,Medium; Statistical Hotspot
258,14.614248,120.983719,Physical Injury / Brawl,2026-02-27,12:00,Manila,Sta. Cruz,High; Statistical Hotspot
259,14.588404,120.982669,Robbery / Extortion,2026-02-26,12:00,Manila,Ermita,High; Real News (Simulated)
260,14.700887,121.080704,Drug Seizure (P142M Shabu),2026-02-26,12:00,Quezon City,Fairview,High; Real News (Simulated)
261,14.618753,121.052341,Animal Cruelty,2026-02-25,12:00,Quezon City,Cubao,Low; Real News (Simulated)
262,14.688919,121.093691,Theft (Pickpocketing),2026-02-25,12:00,Quezon City,Batasan Hills,Medium; Statistical Hotspot
263,14.605459,120.967061,Physical Injury / Brawl,2026-02-25,12:00,Manila,Binondo,High; Statistical Hotspot
264,14.707614,121.085008,Armed Siege / Trespassing,2026-02-24,12:00,Quezon City,Fairview,High; Real News (Simulated)
265,14.674552,121.045569,Theft (Pickpocketing),2026-02-24,12:00,Quezon City,Commonwealth,Medium; Statistical Hotspot
266,14.697617,121.084276,Vehicular Crash,2026-02-24,12:00,Quezon City,Fairview,High; Statistical Hotspot
267,14.638814,121.033064,Vehicular Crash,2026-02-23,12:00,Quezon City,Kamuning,High; Statistical Hotspot
268,14.642123,121.03305,Theft (Pickpocketing),2026-02-22,12:00,Quezon City,Kamuning,Medium; Statistical Hotspot
269,14.61128,120.99815,Smuggling (P102M Shabu),2026-02-22,12:00,Manila,Sampaloc,High; Real News (Scraped)
270,14.577256,120.998008,Smuggling (P102M Shabu),2026-02-22,12:00,Manila,Paco,High; Real News (Simulated)
271,14.581978,121.002402,Smuggling (P102M Shabu),2026-02-22,12:00,Manila,Paco,High; Real News (Simulated)
272,14.577065,120.996812,Snatching,2026-02-22,12:00,Manila,Paco,Medium; Statistical Hotspot
273,14.723996,121.039033,Armed Siege / Trespassing,2026-02-22,12:00,Quezon City,Novaliches,High; Real News (Simulated)
274,14.618923,120.976885,Physical Injury / Brawl,2026-02-22,12:00,Manila,Sta. Cruz,High; Statistical Hotspot
275,14.616068,120.992726,Robbery / Extortion,2026-02-21,12:00,Manila,Sampaloc,High; Real News (Simulated)
276,14.610929,120.993206,Robbery / Extortion,2026-02-21,12:00,Manila,Sampaloc,High; Real News (Simulated)
277,14.58078,120.986428,Physical Injury / Brawl,2026-02-20,12:00,Manila,Ermita,High; Statistical Hotspot
278,14.564396,120.986714,Snatching,2026-02-20,12:00,Manila,Malate,Medium; Statistical Hotspot
279,14.679498,121.052522,Armed Siege / Trespassing,2026-02-20,12:00,Quezon City,Commonwealth,High; Real News (Simulated)
280,14.61945,120.972206,Snatching,2026-02-20,12:00,Manila,Tondo,Medium; Statistical Hotspot
281,14.578916,121.000934,Snatching,2026-02-19,12:00,Manila,Paco,Medium; Statistical Hotspot
282,14.655696,121.030394,Theft (Pickpocketing),2026-02-19,12:00,Quezon City,Project 6,Medium; Statistical Hotspot
283,14.58,120.999232,Theft,2026-02-19,12:00,Manila,Paco,Medium; Statistical Hotspot
284,14.596203,120.984936,Smuggling (P102M Shabu),2026-02-19,12:00,Manila,Quiapo,High; Real News (Simulated)
285,14.72144,121.037903,Vehicular Crash,2026-02-19,12:00,Quezon City,Novaliches,High; Statistical Hotspot
286,14.568909,120.992021,Physical Injury / Brawl,2026-02-19,12:00,Manila,Malate,High; Statistical Hotspot
287,14.685213,121.087949,Armed Siege / Trespassing,2026-02-19,12:00,Quezon City,Batasan Hills,High; Real News (Simulated)
288,14.573022,120.988934,Snatching,2026-02-18,12:00,Manila,Malate,Medium; Statistical Hotspot
289,14.673567,121.043193,Animal Cruelty,2026-02-18,12:00,Quezon City,Commonwealth,Low; Real News (Simulated)
290,14.634208,121.035978,Animal Cruelty,2026-02-17,12:00,Quezon City,Kamuning,Low; Real News (Simulated)
291,14.602714,120.985786,Robbery / Extortion,2026-02-16,12:00,Manila,Quiapo,High; Real News (Scraped)
292,14.701834,121.084145,Robbery (Jewelry Store),2026-02-16,12:00,Quezon City,Fairview,High; Real News (Simulated)
293,14.571459,120.995281,Snatching,2026-02-16,12:00,Manila,Malate,Medium; Statistical Hotspot
294,14.671045,121.048395,Drug Seizure (P142M Shabu),2026-02-16,12:00,Quezon City,Commonwealth,High; Real News (Simulated)
295,14.584091,120.982074,Snatching,2026-02-16,12:00,Manila,Ermita,Medium; Statistical Hotspot
296,14.716721,121.037748,Vehicular Crash,2026-02-15,12:00,Quezon City,Novaliches,High; Statistical Hotspot
297,14.617658,120.967708,Smuggling (P102M Shabu),2026-02-15,12:00,Manila,Tondo,High; Real News (Simulated)
298,14.672688,121.049502,Animal Cruelty,2026-02-15,12:00,Quezon City,Commonwealth,Low; Real News (Simulated)
299,14.592995,120.985833,Smuggling (P102M Shabu),2026-02-14,12:00,Manila,Quiapo,High; Real News (Simulated)
300,14.65241,121.0595,House Robbery,2026-02-14,12:00,Quezon City,Diliman,Medium; Real News (Scraped)
301,14.675382,121.045534,Vehicular Crash,2026-02-14,12:00,Quezon City,Commonwealth,High; Statistical Hotspot
302,14.581718,120.979884,Snatching,2026-02-13,12:00,Manila,Ermita,Medium; Statistical Hotspot
303,14.655692,121.032913,House Robbery,2026-02-13,12:00,Quezon City,Project 6,Medium; Real News (Scraped)
304,14.619874,121.058895,Drug Seizure (P142M Shabu),2026-02-13,12:00,Quezon City,Cubao,High; Real News (Simulated)
305,14.720545,121.037013,Animal Cruelty,2026-02-13,12:00,Quezon City,Novaliches,Low; Real News (Simulated)
306,14.579717,120.997248,Robbery / Extortion,2026-02-12,12:00,Manila,Paco,High; Real News (Simulated)
307,14.688606,121.093168,Drug Seizure (P142M Shabu),2026-02-12,12:00,Quezon City,Batasan Hills,High; Real News (Simulated)
308,14.603137,120.992153,Theft,2026-02-12,12:00,Manila,Sampaloc,Medium; Statistical Hotspot
309,14.619085,120.969613,Theft,2026-02-11,12:00,Manila,Tondo,Medium; Statistical Hotspot
